"Mes","T","TM","Tm","R","H","DR","DN","DT","DF","DH","DD","I",
"Enero","12.6","16.9","8.3","24","67","2.9","0.0","0.5","1.0","0.0","7.1","194",
"Febrero","13.3","17.6","9.0","25","67","2.9","0.0","0.5","1.3","0.0","6.1","191",
"Marzo","15.1","19.6","10.6","16","65","2.6","0.0","0.3","1.5","0.0","5.7","232",
"Abril","17.0","21.4","12.5","17","62","2.6","0.0","0.6","0.6","0.0","6.1","261",
"Mayo","19.7","24.1","15.3","12","63","1.9","0.0","0.5","1.0","0.0","6.9","297",
"Junio","23.5","27.9","18.9","5","61","0.6","0.0","0.6","0.4","0.0","13.1","325",
"Julio","26.1","30.5","21.7","1","60","0.3","0.0","0.5","0.4","0.0","19.0","342",
"Agosto","26.7","31.0","22.4","1","63","0.3","0.0","0.6","0.4","0.0","15.0","315",
"Septiembre","24.2","28.4","20.0","14","65","1.5","0.0","1.1","0.5","0.0","9.3","256",
"Octubre","20.4","24.5","16.3","27","68","2.8","0.0","1.0","0.9","0.0","5.4","218",
"Noviembre","16.4","20.5","12.3","28","67","3.6","0.0","0.9","0.5","0.0","5.4","183",
"Diciembre","13.8","17.9","9.6","30","67","3.3","0.0","0.5","0.5","0.0","6.2","178",
"Año","19.1","23.4","14.7","200","65","25.4","0.0","7.4","8.9","0.0","108.0","2994",
